"rank_id","hit_id","assignment_id","worker_id","time","rank0","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","trial","gen"
1,"3VZYA8PITNXBI6P8RQU696IQDP850Q","3RRCEFRB7MBXTUMB13DMDF3FFZH4B0","A1ZD8RU6YB0VEU","2017-12-02 21:55:56+00",17,9,8,7,9999,24,18,12,30,-9999,0,0
2,"30UZJB2POGB7ZYO5ADCPB4GXG1S53L","3DBQWDE4Y6XHQMF8IY15929NWKPN5C","A1ZD8RU6YB0VEU","2017-12-02 21:56:27+00",21,9999,22,19,25,34,29,26,20,-9999,2,0
3,"30UZJB2POGB7ZYO5ADCPB4GXG1S53L","3XLBSAQ9Z4BQUF7A9FRW29USX4SZ7K","A2P2T7K63H0C7F","2017-12-02 21:56:28+00",26,29,19,25,21,22,20,9999,34,-9999,2,0
4,"3VGET1QSZZYJD04C8Q2OEL5Q50I7W9","3R6BYFZZP7BE4DM1QG1NTGRYNSDXFP","A1ZD8RU6YB0VEU","2017-12-02 21:56:35+00",9999,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0
5,"3VGET1QSZZYJD04C8Q2OEL5Q50I7W9","3IKZ72A5B4F9SJ8XOAEEVE00LE3NFV","A3T71W88062DB7","2017-12-02 21:58:40+00",9999,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0
6,"3VGET1QSZZYJD04C8Q2OEL5Q50I7W9","3LEIZ60CDJYU8YV3OCPGG5LYSUH9Z7","A36TQOAAAR7M9L","2017-12-02 21:59:54+00",9999,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0
7,"30UZJB2POGB7ZYO5ADCPB4GXG1S53L","33IZTU6J810N8IRNW01M0FADCI7XS8","A36TQOAAAR7M9L","2017-12-02 22:01:18+00",25,21,9999,20,26,29,19,34,22,-9999,2,0
8,"3VZYA8PITNXBI6P8RQU696IQDP850Q","3TDXMTX3CBTLVP4VQ1YIW0R66G7I68","A36TQOAAAR7M9L","2017-12-02 22:03:41+00",17,18,7,8,9,12,9999,30,24,-9999,0,0
9,"30UZJB2POGB7ZYO5ADCPB4GXG1S53L","3PWWM24LHSX4OI9HUDAOTYGGNF0829","AK3DF1BXS8DSM","2017-12-02 22:04:00+00",34,29,26,25,22,21,20,19,9999,-9999,2,0
10,"3VGET1QSZZYJD04C8Q2OEL5Q50I7W9","3NJM2BJS4W52SS00DN15RXKSOGDPCJ","A1LDYRTFF28GR","2017-12-02 22:21:47+00",9999,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0
