"verify_id","assignment_id","worker_id","time","gen","trial","hit_id","valid","invalid"
58,"31HQ4X3T3S9S8OAYIHYYPLFQ6J6LS4","A1K3DSVWUG7SF2","2017-12-06 20:06:35+00",0,0,"3S37Y8CWI7ZMUDMT6S4HB9LGE2ZW4T","{83,86,89,93,98,100,101,105,107}","{113}"
59,"3KYQYYSHYV6UCKUDYJJ1M3XK0L1ODU","A115UFR6VA6OM1","2017-12-06 20:06:57+00",0,2,"3BKZLF990YYX8N4RJQTIZ971L2HYQC","{76,77,90,97}","{79,81,82,94,96,99}"
60,"37TRT2X24QQNWC5W4A0QJHSYY6FBJR","A1K3DSVWUG7SF2","2017-12-06 20:07:16+00",0,1,"356ZPKYPUGGC8B3CJDETZ4HRG6VYPL","{78,80,84,85,87,88,92,95,102}","{91}"
61,"36ZN444YTRXBKVAZQXKCD0DXSQ9OIW","A115UFR6VA6OM1","2017-12-06 20:07:39+00",0,0,"3S37Y8CWI7ZMUDMT6S4HB9LGE2ZW4T","{83,86,89,93,98,100,101,105,107}","{113}"
62,"3VBEN272MKYCMWWX7Q1ICTAIA2KGST","A1K3DSVWUG7SF2","2017-12-06 20:08:05+00",0,2,"3BKZLF990YYX8N4RJQTIZ971L2HYQC","{76,77,79,90,94,96,97,99}","{81,82}"
63,"3ZSY5X72NXAODUDIGKELRSEOFMSOR0","A115UFR6VA6OM1","2017-12-06 20:08:06+00",0,1,"356ZPKYPUGGC8B3CJDETZ4HRG6VYPL","{78,80,84,85,87,88,92,102}","{91,95}"
64,"3QEMNNSB2XYNRE2EHX2ZBHBPAWR7DN","ANVBSQCIBWDO9","2017-12-06 20:08:41+00",0,2,"3BKZLF990YYX8N4RJQTIZ971L2HYQC","{76,77,79,81,82,90,94,96,97,99}","{}"
65,"3LUY3GC63ZZWGB54M6TUBBSEOFUP7J","A1ZD8RU6YB0VEU","2017-12-06 20:09:06+00",0,1,"356ZPKYPUGGC8B3CJDETZ4HRG6VYPL","{78,80,84,85,87,88,92}","{91,95,102}"
66,"33FOTY3KEMKZB0HYSLQFQ12UMAFC1V","ANVBSQCIBWDO9","2017-12-06 20:09:12+00",0,1,"356ZPKYPUGGC8B3CJDETZ4HRG6VYPL","{78,80,84,85,87,88,92,102}","{91,95}"
67,"3I7DHKZYGNZ52U2RKAIS1X0EV3CF5R","A1ZD8RU6YB0VEU","2017-12-06 20:09:23+00",0,0,"3S37Y8CWI7ZMUDMT6S4HB9LGE2ZW4T","{83,86,89,93,98,100,101,105,107}","{113}"
68,"3PDJHANYK5FLZUTBKJGXWOQR7D0H67","A2ZKUKB5FES9ZT","2017-12-06 20:09:29+00",0,2,"3BKZLF990YYX8N4RJQTIZ971L2HYQC","{76,77,79,81,82,90,94,96,97,99}","{}"
69,"3GU1KF0O4I0JIN8UZN5AGDEA75LPB5","ANVBSQCIBWDO9","2017-12-06 20:09:32+00",0,0,"3S37Y8CWI7ZMUDMT6S4HB9LGE2ZW4T","{83,86,89,93,98,100,101,105,107}","{113}"
70,"3U5NZHP4LR1T90BGZFF62OH82IQPHL","A1ZD8RU6YB0VEU","2017-12-06 20:09:39+00",0,2,"3BKZLF990YYX8N4RJQTIZ971L2HYQC","{76,77,79,82,90,97}","{81,94,96,99}"
71,"3K3R2QNK8B2DMZ1TIPQ8ZD6JRMA9UB","A1EQ2HDHF2WWSY","2017-12-06 20:09:40+00",0,1,"356ZPKYPUGGC8B3CJDETZ4HRG6VYPL","{78,80,84,85,87,88,92}","{91,95,102}"
72,"3TXD01ZLD4GCPTVH1UUHI5V35UWU40","A2ZKUKB5FES9ZT","2017-12-06 20:09:53+00",0,0,"3S37Y8CWI7ZMUDMT6S4HB9LGE2ZW4T","{83,86,89,93,98,100,101,105,107}","{113}"
