"verify_id","assignment_id","worker_id","time","gen","trial","hit_id","valid","invalid"
3,"3Z4AIRP3C6CNEYSTJHM24EN4MISX1M","A3AD1WTZEZNFQW","2017-12-02 21:11:04+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
7,"3N4BPTXIO8RX3VKKMMHXPMKZ16CUKV","A24B2ZZJ04FNDN","2017-12-02 21:25:52+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24}","{30}"
8,"3N4BPTXIO8RX3VKKMMHXPMKZ16CUKV","A24B2ZZJ04FNDN","2017-12-02 21:27:21+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
10,"3OS46CRSLFYQHVOVP8X1BPH0EI1V6G","A1H6QZ5VB8PWIL","2017-12-02 21:29:10+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
11,"3OS46CRSLFYQHVOVP8X1BPH0EI1V6G","A1H6QZ5VB8PWIL","2017-12-02 21:29:36+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
19,"3M0NZ3JDP1XB7BTRLMCZ4PGW6Z95ZP","A2VDXSY6U1SBRP","2017-12-03 01:37:53+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
20,"33TIN5LC049U38LYSQNX2YCWM1NY9H","AGUF6B4Q9991D","2017-12-03 01:38:06+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
25,"3ZY8KE4ISJ2JRD7F4HBZHUYREKPVQR","A3Q29XKC8MAPX6","2017-12-03 01:38:40+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
30,"3WEV0KO0OMR9ACM6500A687LW17DS0","A222I983CLHUE5","2017-12-03 01:39:41+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
31,"3GDTJDAPVUAUVMDA4VT887UETLS8MD","A18MIOZ2MS4YUB","2017-12-03 01:39:57+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{44}","{42,47,51,52,53,55}"
33,"3U4J9857OEAUCH4U31BTGRNP62IB74","A18MIOZ2MS4YUB","2017-12-03 01:40:28+00",1,0,"3YCT0L9OML8F94FQ4S9CDTOVZ2VSNU","{44}","{42,47,51,52,53,55}"
