"verify_id","assignment_id","worker_id","time","gen","trial","hit_id","valid","invalid"
1,"3IJXV6UZ1XIEH82FIP1G7VI23WSIR0","A3IR7DFEKLLLO","2017-12-11 03:37:38+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
2,"3F6HPJW4JDZFEJ5ZSGQU7EJ26FAW26","A3IR7DFEKLLLO","2017-12-11 03:37:55+00",0,0,"32TMVRKDGMXB4CQB8POBXTIUX4R480","{1,3,6,12}","{10}"
3,"3AWETUDC92RNJZO6S6VTTYK1CDBIZT","A15F2JTVAJXITI","2017-12-11 03:39:39+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
4,"3HVVDCPGTERDNNUCQWSETYD8H0NYTZ","A15F2JTVAJXITI","2017-12-11 03:39:53+00",0,1,"33KGGVH24TGKREU0TFH1FUSKCTQ1XS","{2,8,9,11,14}","{}"
5,"379J5II41OFRY55GHMET04BB5BWLE4","A15F2JTVAJXITI","2017-12-11 03:40:06+00",0,0,"32TMVRKDGMXB4CQB8POBXTIUX4R480","{1,3,6,12}","{10}"
6,"3MRNMEIQW55M6ZRGLR39UMTQ5ZVLDB","A2RWG1BDW949U1","2017-12-11 03:40:18+00",0,1,"33KGGVH24TGKREU0TFH1FUSKCTQ1XS","{2,8,11,14}","{9}"
7,"358UUM7WRZ2HSOLJZYXJG6STPGHR7E","AHJEBMA318NZ5","2017-12-11 03:44:05+00",0,0,"32TMVRKDGMXB4CQB8POBXTIUX4R480","{1,3,6,12}","{10}"
8,"3LKC68YZ3A2TLQU4FEORERM57K6OW4","A3NKTB1JU5AKIW","2017-12-11 03:44:46+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
9,"3GD6L00D3SWCKMTP5AKTTX76G7IM1O","AHJEBMA318NZ5","2017-12-11 03:44:58+00",0,1,"33KGGVH24TGKREU0TFH1FUSKCTQ1XS","{2,8,11,14}","{9}"
10,"3KKG4CDWKIXE517E3JZQM98PSSM49L","A3NKTB1JU5AKIW","2017-12-11 03:45:00+00",0,1,"33KGGVH24TGKREU0TFH1FUSKCTQ1XS","{2,8,11,14}","{9}"
11,"3DPNQGW4LLERNI5G5CWE2ZHN2RE64C","A3NKTB1JU5AKIW","2017-12-11 03:45:13+00",0,0,"32TMVRKDGMXB4CQB8POBXTIUX4R480","{1,3,6,12}","{10}"
12,"3RGU30DZTA7JF39TVZQZXX3SAOIJMP","AHJEBMA318NZ5","2017-12-11 03:45:19+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
13,"3TPZPLC3M0BEFS4HKUQ4YUGYJW7P3F","A24J77X6RQP62Z","2017-12-11 03:45:55+00",0,0,"32TMVRKDGMXB4CQB8POBXTIUX4R480","{1,3,6,12}","{10}"
14,"3EF8EXOTT1UMJEN42D71D5FPCDO1J0","A2OTDMCV8CZWML","2017-12-11 03:45:57+00",0,0,"32TMVRKDGMXB4CQB8POBXTIUX4R480","{1,3,6,12}","{10}"
15,"3IX2EGZR7BIACJML07MGJWX2GBHRJL","A24J77X6RQP62Z","2017-12-11 03:46:25+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
16,"3PH3VY7DJLW5KU8BHNZ8UPT9RO9WZE","A3QL83973NFWOB","2017-12-11 03:46:29+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
17,"32SCWG5HIH3DCBRZ3WO25XSITN9P6L","A39VDI1CVOMMIN","2017-12-11 03:46:54+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
18,"3IO1LGZLK9WS6JSIHFMRJBXS4DA68J","A24J77X6RQP62Z","2017-12-11 03:47:00+00",0,1,"33KGGVH24TGKREU0TFH1FUSKCTQ1XS","{2,8,11,14}","{9}"
19,"37FMASSAYCQR11LQMSFQ7GDYLAQBIH","A2OTDMCV8CZWML","2017-12-11 03:47:32+00",0,2,"3566S7OX5CIQCZO9B2D3LVFWA0B713","{4,5,7,16}","{17}"
20,"37W3JXSD6675F4Y6L1XPGIK7LVLWY5","A24J77X6RQP62Z","2017-12-11 15:50:59+00",1,1,"32TZXEA1OKJTTC6Q94FWIJVMJZ8142","{26,27,30,31,37}","{}"
21,"3EF8EXOTT1UMJEN42D71D5FPCE41JI","AX8RDFKYAO9BX","2017-12-11 15:51:01+00",1,1,"32TZXEA1OKJTTC6Q94FWIJVMJZ8142","{26,27,30,31,37}","{}"
22,"3U0SRXB7CD46V9D6F5E8C3EJPW2RN7","AX8RDFKYAO9BX","2017-12-11 15:51:15+00",1,0,"3GS542CVJUMTE0DLRMDZ2HJJH7R59K","{25,33,34,35}","{32}"
23,"3SITXWYCNV8ORWALLEFRAQ0D9O9XBK","AX8RDFKYAO9BX","2017-12-11 15:51:27+00",1,2,"36D1BWBEHM0GMNDSYCF69WMRXW72MF","{22,23,24,28,29}","{}"
24,"32KTQ2V7RDEU9RWK9NZM83PPEKMM9F","A26AI2P6IOPDWV","2017-12-11 15:51:50+00",1,0,"3GS542CVJUMTE0DLRMDZ2HJJH7R59K","{25,32,33,34,35}","{}"
25,"3NPFYT4IZC3KIDIW1075B1RAP11XG1","A2XLMRL553Q4VZ","2017-12-11 15:52:02+00",1,1,"32TZXEA1OKJTTC6Q94FWIJVMJZ8142","{26,27,30,31,37}","{}"
26,"3MH9DQ757WBS19O1WVWIRUS6VJKUG6","A115UFR6VA6OM1","2017-12-11 15:52:03+00",1,0,"3GS542CVJUMTE0DLRMDZ2HJJH7R59K","{25,33,35}","{32,34}"
27,"36TFCYNS449YI9D7L6PNW13B41EXH0","AM155T4U3RE1A","2017-12-11 15:52:06+00",1,0,"3GS542CVJUMTE0DLRMDZ2HJJH7R59K","{25,33,34,35}","{32}"
28,"3PWWM24LHSX4OI9HUDAOTYGGO9O28G","A2XLMRL553Q4VZ","2017-12-11 15:52:46+00",1,2,"36D1BWBEHM0GMNDSYCF69WMRXW72MF","{22,23,24,29}","{28}"
29,"3VZLGYJEYL9K9UD1RSVUW87G0RVZXS","A115UFR6VA6OM1","2017-12-11 15:52:46+00",1,2,"36D1BWBEHM0GMNDSYCF69WMRXW72MF","{}","{22,23,24,28,29}"
30,"3RYC5T2D73S6YUPJVKR0GSJEPB3RP3","A10YS8AVLQWUZZ","2017-12-11 15:52:46+00",1,2,"36D1BWBEHM0GMNDSYCF69WMRXW72MF","{23,24,29}","{22,28}"
